"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2021","2,133.69","1,969.61","2,133.69","1,957.79","846.20K","8.42%"
"Apr 01, 2021","1,968.07","1,927.89","1,971.10","1,912.61","741.76K","2.62%"
"Mar 31, 2021","1,917.84","1,843.00","1,926.68","1,792.39","746.92K","4.22%"
"Mar 30, 2021","1,840.15","1,822.06","1,840.48","1,797.05","568.91K","1.31%"
"Mar 29, 2021","1,816.35","1,685.63","1,839.86","1,685.63","647.44K","7.68%"
"Mar 28, 2021","1,686.86","1,715.67","1,717.98","1,669.32","348.91K","-1.51%"
"Mar 27, 2021","1,712.66","1,704.57","1,728.64","1,676.21","443.84K","0.82%"
"Mar 26, 2021","1,698.70","1,589.27","1,698.70","1,589.27","515.42K","7.10%"
"Mar 25, 2021","1,586.16","1,583.73","1,614.29","1,573.68","701.75K","0.26%"
"Mar 24, 2021","1,582.05","1,665.74","1,734.00","1,582.05","753.83K","-5.16%"
"Mar 23, 2021","1,668.18","1,681.32","1,716.19","1,661.52","577.34K","-0.92%"
"Mar 22, 2021","1,683.69","1,786.28","1,796.48","1,680.90","582.78K","-5.61%"
"Mar 21, 2021","1,783.85","1,801.18","1,803.40","1,767.34","466.01K","-1.17%"
"Mar 20, 2021","1,805.00","1,809.48","1,855.61","1,805.00","451.49K","-0.26%"
"Mar 19, 2021","1,809.76","1,773.50","1,816.50","1,773.50","500.23K","1.91%"
"Mar 18, 2021","1,775.91","1,826.59","1,844.97","1,775.91","603.73K","-2.60%"
"Mar 17, 2021","1,823.37","1,806.29","1,828.24","1,748.98","658.25K","1.07%"
"Mar 16, 2021","1,804.06","1,797.46","1,807.24","1,753.88","765.89K","0.67%"
"Mar 15, 2021","1,792.01","1,855.14","1,885.50","1,776.20","1.03M","-3.34%"
"Mar 14, 2021","1,853.88","1,921.98","1,921.98","1,853.88","637.54K","-3.48%"
"Mar 13, 2021","1,920.79","1,767.27","1,936.22","1,744.54","926.05K","8.68%"
"Mar 12, 2021","1,767.32","1,832.77","1,832.77","1,740.51","869.52K","-3.21%"
"Mar 11, 2021","1,826.00","1,795.05","1,829.37","1,735.01","909.19K","1.80%"
"Mar 10, 2021","1,793.70","1,873.26","1,873.26","1,786.94","937.53K","-4.00%"
"Mar 09, 2021","1,868.46","1,838.00","1,868.46","1,812.64","857.22K","2.06%"
"Mar 08, 2021","1,830.72","1,731.99","1,830.72","1,677.75","1.15M","5.92%"
"Mar 07, 2021","1,728.42","1,650.37","1,728.42","1,650.37","848.27K","4.89%"
"Mar 06, 2021","1,647.84","1,530.39","1,670.01","1,530.39","1.01M","7.61%"
"Mar 05, 2021","1,531.27","1,539.94","1,540.01","1,463.41","910.67K","-0.47%"
"Mar 04, 2021","1,538.53","1,567.68","1,603.70","1,526.43","948.57K","-2.08%"
"Mar 03, 2021","1,571.23","1,485.66","1,616.57","1,485.66","1.05M","5.46%"
"Mar 02, 2021","1,489.91","1,570.37","1,573.69","1,463.42","1.06M","-5.10%"
"Mar 01, 2021","1,570.00","1,423.64","1,570.00","1,423.64","1.09M","10.69%"
"Feb 28, 2021","1,418.41","1,450.22","1,454.70","1,328.28","1.41M","-2.79%"
"Feb 27, 2021","1,459.12","1,445.60","1,501.68","1,445.60","927.40K","0.94%"
"Feb 26, 2021","1,445.50","1,482.96","1,534.77","1,409.77","1.36M","-1.88%"
"Feb 25, 2021","1,473.24","1,627.56","1,645.67","1,473.24","1.03M","-9.27%"
"Feb 24, 2021","1,623.74","1,579.15","1,698.99","1,579.15","1.38M","2.89%"
"Feb 23, 2021","1,578.10","1,778.35","1,778.35","1,463.30","2.55M","-11.22%"
"Feb 22, 2021","1,777.54","1,934.51","1,934.51","1,725.47","1.81M","-8.06%"
"Feb 21, 2021","1,933.46","1,913.27","1,969.16","1,895.95","757.04K","1.04%"
"Feb 20, 2021","1,913.62","1,960.18","2,025.99","1,913.62","1.26M","-2.15%"
"Feb 19, 2021","1,955.60","1,944.84","1,969.42","1,905.44","794.14K","0.87%"
"Feb 18, 2021","1,938.76","1,853.96","1,943.70","1,853.96","936.61K","4.94%"
"Feb 17, 2021","1,847.45","1,783.45","1,847.45","1,748.80","795.68K","3.73%"
"Feb 16, 2021","1,781.08","1,781.03","1,809.99","1,753.76","817.65K","0.10%"
"Feb 15, 2021","1,779.26","1,801.91","1,819.31","1,674.08","1.05M","-1.17%"
"Feb 14, 2021","1,800.28","1,816.14","1,841.52","1,796.91","675.26K","-0.85%"
"Feb 13, 2021","1,815.70","1,848.00","1,857.78","1,789.60","767.65K","-1.36%"
"Feb 12, 2021","1,840.72","1,786.36","1,848.08","1,753.39","909.59K","3.02%"
"Feb 11, 2021","1,786.79","1,743.21","1,796.67","1,714.38","734.96K","2.55%"
"Feb 10, 2021","1,742.34","1,771.90","1,819.02","1,727.61","1.22M","-1.62%"
"Feb 09, 2021","1,770.99","1,754.99","1,789.99","1,727.00","1.19M","1.25%"
"Feb 08, 2021","1,749.19","1,611.61","1,749.19","1,596.99","1.34M","8.42%"
"Feb 07, 2021","1,613.39","1,671.33","1,682.52","1,554.54","1.28M","-3.76%"
"Feb 06, 2021","1,676.39","1,723.79","1,723.79","1,659.44","1.15M","-2.50%"
"Feb 05, 2021","1,719.33","1,598.99","1,743.35","1,598.99","1.19M","7.63%"
"Feb 04, 2021","1,597.42","1,669.38","1,684.79","1,584.97","1.65M","-4.03%"
"Feb 03, 2021","1,664.55","1,519.40","1,664.55","1,519.40","1.54M","10.16%"
"Feb 02, 2021","1,511.00","1,375.40","1,525.38","1,373.79","1.94M","10.05%"
"Feb 01, 2021","1,373.00","1,310.26","1,373.00","1,285.01","1.10M","4.61%"
"Jan 31, 2021","1,312.52","1,378.30","1,378.30","1,299.99","958.76K","-4.64%"
"Jan 30, 2021","1,376.41","1,379.86","1,384.13","1,338.89","1.04M","-0.23%"
"Jan 29, 2021","1,379.59","1,328.17","1,421.31","1,304.52","2.25M","3.95%"
"Jan 28, 2021","1,327.17","1,237.80","1,349.24","1,237.80","1.37M","6.26%"
"Jan 27, 2021","1,249.01","1,364.36","1,364.36","1,246.65","2.01M","-8.54%"
"Jan 26, 2021","1,365.64","1,314.28","1,365.64","1,271.91","1.68M","3.65%"
"Jan 25, 2021","1,317.57","1,390.98","1,432.13","1,317.57","1.89M","-5.20%"
"Jan 24, 2021","1,389.84","1,233.65","1,389.84","1,233.65","1.51M","12.69%"
"Jan 23, 2021","1,233.30","1,230.48","1,254.23","1,228.93","1.01M","-0.09%"
"Jan 22, 2021","1,234.38","1,113.73","1,266.25","1,091.91","2.02M","10.41%"
"Jan 21, 2021","1,118.01","1,381.56","1,381.56","1,114.99","2.31M","-18.84%"
"Jan 20, 2021","1,377.51","1,370.20","1,403.27","1,280.69","2.22M","0.40%"
"Jan 19, 2021","1,372.00","1,267.30","1,417.22","1,267.30","2.27M","9.04%"
"Jan 18, 2021","1,258.20","1,236.13","1,258.20","1,201.46","998.23K","1.97%"
"Jan 17, 2021","1,233.84","1,225.22","1,249.54","1,181.55","1.32M","0.46%"
"Jan 16, 2021","1,228.18","1,168.95","1,268.37","1,168.95","1.58M","4.78%"
"Jan 15, 2021","1,172.12","1,237.26","1,243.34","1,156.73","1.95M","-5.00%"
"Jan 14, 2021","1,233.86","1,130.97","1,233.86","1,111.74","1.56M","8.97%"
"Jan 13, 2021","1,132.30","1,046.67","1,132.30","1,026.35","1.56M","7.84%"
"Jan 12, 2021","1,050.00","1,090.40","1,139.95","1,044.00","2.30M","-3.39%"
"Jan 11, 2021","1,086.90","1,256.89","1,256.89","937.24","4.10M","-13.45%"
"Jan 10, 2021","1,255.79","1,281.04","1,342.56","1,212.77","1.95M","-1.54%"
"Jan 09, 2021","1,275.46","1,217.79","1,283.75","1,182.93","1.45M","4.91%"
"Jan 08, 2021","1,215.78","1,231.11","1,245.37","1,168.30","2.13M","-0.72%"
"Jan 07, 2021","1,224.59","1,216.04","1,259.47","1,189.18","1.97M","1.33%"
"Jan 06, 2021","1,208.50","1,105.65","1,208.50","1,078.91","2.39M","9.92%"
"Jan 05, 2021","1,099.39","1,046.42","1,126.54","1,003.61","2.71M","5.49%"
"Jan 04, 2021","1,042.19","981.11","1,128.92","946.23","4.25M","7.02%"
"Jan 03, 2021","973.85","775.66","973.85","772.01","2.81M","25.75%"
"Jan 02, 2021","774.41","729.36","779.75","729.36","1.35M","6.25%"
"Jan 01, 2021","728.89","736.14","745.85","726.80","675.15K","-0.96%"
"Dec 31, 2020","735.96","753.26","753.26","724.63","863.33K","-2.09%"
"Dec 30, 2020","751.67","735.05","751.67","722.18","1.01M","2.70%"
"Dec 29, 2020","731.90","730.29","731.90","696.65","1.11M","0.26%"
"Dec 28, 2020","730.02","686.28","745.83","686.28","1.63M","6.77%"
"Dec 27, 2020","683.74","637.58","693.58","637.58","1.86M","7.41%"
"Dec 26, 2020","636.58","626.87","642.18","621.15","958.66K","1.52%"
"Dec 25, 2020","627.02","613.73","628.40","608.62","797.98K","2.40%"
"Dec 24, 2020","612.31","585.55","612.31","572.42","886.41K","4.53%"
"Dec 23, 2020","585.75","637.42","637.99","585.75","1.21M","-8.11%"
"Dec 22, 2020","637.43","608.40","637.43","601.20","918.49K","4.89%"
"Dec 21, 2020","607.70","637.64","643.64","602.65","843.26K","-4.80%"
"Dec 20, 2020","638.37","657.64","657.64","638.14","823.89K","-3.07%"
"Dec 19, 2020","658.58","654.51","662.76","649.85","859.38K","0.75%"
"Dec 18, 2020","653.70","644.27","653.70","636.06","1.00M","1.59%"
"Dec 17, 2020","643.45","637.03","674.34","637.03","2.01M","0.96%"
"Dec 16, 2020","637.31","588.73","637.31","584.11","1.19M","8.22%"
"Dec 15, 2020","588.89","586.57","590.41","581.69","569.22K","0.43%"
"Dec 14, 2020","586.35","590.71","590.71","579.13","493.23K","-0.78%"
"Dec 13, 2020","590.94","567.80","592.41","566.72","657.54K","4.04%"
"Dec 12, 2020","568.02","544.24","569.87","544.24","574.10K","4.43%"
"Dec 11, 2020","543.91","559.74","559.74","542.30","768.71K","-2.56%"
"Dec 10, 2020","558.21","575.24","575.24","555.04","608.51K","-2.68%"
"Dec 09, 2020","573.57","553.73","575.98","543.98","997.19K","3.32%"
"Dec 08, 2020","555.14","590.77","590.77","554.85","804.37K","-6.11%"
"Dec 07, 2020","591.24","602.49","602.49","588.71","498.52K","-1.71%"
"Dec 06, 2020","601.51","598.48","601.51","586.24","602.46K","0.79%"
"Dec 05, 2020","596.79","567.62","596.79","567.62","701.58K","5.16%"
"Dec 04, 2020","567.49","614.83","614.83","567.49","1.05M","-7.86%"
"Dec 03, 2020","615.90","596.68","616.78","589.65","935.72K","2.98%"
"Dec 02, 2020","598.09","585.11","598.09","585.11","1.07M","2.21%"
"Dec 01, 2020","585.14","616.91","632.95","585.14","2.16M","-5.06%"
"Nov 30, 2020","616.30","578.06","616.30","578.06","1.50M","7.08%"
"Nov 29, 2020","575.57","537.82","575.57","535.64","855.10K","7.04%"
"Nov 28, 2020","537.72","519.37","542.77","509.82","900.86K","3.68%"
"Nov 27, 2020","518.63","520.49","528.81","503.64","1.09M","-0.14%"
"Nov 26, 2020","519.36","567.63","572.67","497.38","2.68M","-8.78%"
"Nov 25, 2020","569.38","604.97","604.97","569.38","1.22M","-5.89%"
"Nov 24, 2020","605.04","609.00","616.06","595.11","1.61M","-0.60%"
"Nov 23, 2020","608.67","562.63","608.67","557.12","2.08M","8.64%"
"Nov 22, 2020","560.27","553.00","571.11","527.17","1.85M","1.49%"
"Nov 21, 2020","552.03","510.00","552.03","508.73","1.55M","8.20%"
"Nov 20, 2020","510.18","471.25","510.18","471.25","1.52M","8.32%"
"Nov 19, 2020","471.01","478.88","478.93","468.06","817.34K","-1.57%"
"Nov 18, 2020","478.53","481.97","493.75","470.99","1.48M","-0.72%"
"Nov 17, 2020","482.02","460.29","482.02","460.29","1.15M","4.72%"
"Nov 16, 2020","460.31","447.68","462.83","447.68","812.03K","2.73%"
"Nov 15, 2020","448.06","460.93","462.05","440.76","665.60K","-2.74%"
"Nov 14, 2020","460.68","476.74","476.74","458.33","735.33K","-3.30%"
"Nov 13, 2020","476.42","462.70","476.42","460.45","976.83K","3.03%"
"Nov 12, 2020","462.41","463.27","464.01","456.76","990.52K","-0.17%"
"Nov 11, 2020","463.19","450.77","469.50","450.77","1.21M","2.85%"
"Nov 10, 2020","450.35","444.09","451.99","440.36","866.93K","1.37%"
"Nov 09, 2020","444.28","454.36","456.17","444.08","1.10M","-2.26%"
"Nov 08, 2020","454.55","434.52","456.45","434.52","841.27K","4.42%"
"Nov 07, 2020","435.33","455.34","463.39","434.78","1.65M","-4.46%"
"Nov 06, 2020","455.63","416.77","455.63","416.77","1.68M","9.38%"
"Nov 05, 2020","416.56","403.28","418.19","397.95","1.48M","3.54%"
"Nov 04, 2020","402.30","388.24","403.99","380.77","1.16M","3.71%"
"Nov 03, 2020","387.89","383.02","389.99","375.25","753.21K","1.24%"
"Nov 02, 2020","383.14","396.70","400.78","383.14","779.62K","-3.41%"
"Nov 01, 2020","396.67","385.92","396.67","385.92","439.07K","2.63%"
"Oct 31, 2020","386.51","382.71","388.57","382.71","467.28K","1.05%"
"Oct 30, 2020","382.49","387.20","387.20","377.21","772.22K","-1.23%"
"Oct 29, 2020","387.24","388.39","391.17","386.40","573.03K","-0.28%"
"Oct 28, 2020","388.33","403.24","405.90","383.66","855.32K","-3.74%"
"Oct 27, 2020","403.40","392.62","408.14","392.62","754.46K","2.65%"
"Oct 26, 2020","392.97","405.97","408.34","388.37","895.05K","-3.15%"
"Oct 25, 2020","405.76","411.73","412.28","405.76","415.46K","-1.55%"
"Oct 24, 2020","412.13","409.36","413.61","409.36","419.28K","0.63%"
"Oct 23, 2020","409.54","413.93","417.28","406.87","727.91K","-1.03%"
"Oct 22, 2020","413.80","390.81","417.58","390.81","1.10M","5.88%"
"Oct 21, 2020","390.82","368.90","396.37","368.90","1.22M","6.06%"
"Oct 20, 2020","368.50","379.23","379.30","368.50","617.42K","-2.81%"
"Oct 19, 2020","379.17","378.32","380.00","373.82","577.37K","0.24%"
"Oct 18, 2020","378.25","368.25","378.25","367.96","323.37K","2.69%"
"Oct 17, 2020","368.34","365.89","368.34","365.89","285.83K","0.80%"
"Oct 16, 2020","365.40","377.66","379.49","365.35","653.93K","-3.21%"
"Oct 15, 2020","377.51","378.93","378.93","373.60","633.80K","-0.31%"
"Oct 14, 2020","378.70","381.15","382.85","374.32","569.56K","-0.62%"
"Oct 13, 2020","381.08","386.95","386.95","378.10","645.10K","-1.40%"
"Oct 12, 2020","386.51","373.89","388.31","367.02","844.42K","3.30%"
"Oct 11, 2020","374.16","370.43","375.55","370.43","373.32K","0.98%"
"Oct 10, 2020","370.54","364.92","374.69","364.92","591.01K","1.52%"
"Oct 09, 2020","365.00","351.03","365.55","349.75","650.47K","4.05%"
"Oct 08, 2020","350.79","342.04","351.06","336.75","631.78K","2.64%"
"Oct 07, 2020","341.76","340.79","341.76","338.49","541.95K","0.26%"
"Oct 06, 2020","340.87","353.90","353.90","340.41","640.10K","-3.56%"
"Oct 05, 2020","353.47","352.32","353.66","350.70","378.01K","0.28%"
"Oct 04, 2020","352.47","345.65","352.47","345.65","342.52K","1.90%"
"Oct 03, 2020","345.90","345.87","350.10","345.66","303.68K","0.05%"
"Oct 02, 2020","345.73","351.82","352.29","338.99","733.59K","-2.07%"
"Oct 01, 2020","353.05","360.08","368.13","352.28","758.36K","-1.86%"
"Sep 30, 2020","359.73","359.89","359.89","355.30","498.91K","-0.02%"
"Sep 29, 2020","359.79","352.33","359.79","352.33","585.52K","1.67%"
"Sep 28, 2020","353.87","358.67","364.32","353.87","757.69K","-1.00%"
"Sep 27, 2020","357.46","354.22","359.28","352.03","569.39K","1.01%"
"Sep 26, 2020","353.88","352.26","353.88","348.88","530.85K","0.58%"
"Sep 25, 2020","351.84","348.80","352.88","339.16","860.87K","0.78%"
"Sep 24, 2020","349.13","320.59","349.54","320.59","1.07M","9.11%"
"Sep 23, 2020","319.98","344.32","344.32","319.98","940.44K","-7.03%"
"Sep 22, 2020","344.19","340.35","344.19","340.35","842.95K","1.16%"
"Sep 21, 2020","340.23","370.43","374.97","340.23","1.28M","-8.25%"
"Sep 20, 2020","370.82","385.03","385.03","370.16","693.05K","-3.73%"
"Sep 19, 2020","385.20","383.96","385.54","378.07","570.96K","0.21%"
"Sep 18, 2020","384.40","389.21","389.21","377.81","804.42K","-1.29%"
"Sep 17, 2020","389.42","364.86","389.42","364.86","1.26M","6.76%"
"Sep 16, 2020","364.75","364.30","367.88","357.17","841.63K","0.19%"
"Sep 15, 2020","364.07","376.83","381.09","364.07","883.81K","-3.46%"
"Sep 14, 2020","377.13","366.47","380.36","357.53","1.04M","3.12%"
"Sep 13, 2020","365.71","387.98","389.17","358.21","989.06K","-5.69%"
